llegada_fila,TEA_caja,inicio_servicio_caja,fin_servicio_caja,ts_caja_seg,inicio_servicio_armado,fin_servicio_armado,ts_armado
45486.0,0.0,45586.0,45599.94458743,24.16721494,45729.94458743,45862.95758743,133.013
45519.85810162,33.85810162,45613.88917486,45627.83376229,49.39074303,46009.98458743,46157.01158743,147.027
45559.578504109995,39.72040249,45641.77834972,45655.72293715,67.54373581,46289.023587430005,46421.03558743001,132.012
45625.101126819995,65.52262271,45669.66752458,45683.61211201,65.55897822,46682.05658743001,46943.07758743001,261.021
45722.78622457999,97.68509776,45697.55669944,45711.50128687,36.54528402,47174.12858743001,47405.17958743001,231.051
45788.831523459994,66.04529888,45725.4458743,45739.39046173,62.49657044,47602.19658743001,47799.21358743001,197.017
45817.216679369994,28.38515591,45753.33504916,45767.27963659,81.91577309,47914.26858743001,48029.32358743001,115.055
45831.00754646999,13.7908671,45781.22422402,45795.16881145,80.38330251,48113.347587430006,48197.37158743,84.024
45896.00724259999,64.99969613,45809.11339888,45823.05798631,66.1029047,48221.39558743,48245.41958743,24.024
45917.01489896999,21.00765637,45837.00257374,45850.94716117,28.3346924,48291.46558743,48337.51158743,46.046
45938.67813722999,21.66323826,45864.8917486,45878.83633603,61.82412667,48419.53358743,48501.55558743,82.022
45985.699478059985,47.02134083,45892.78092346,45906.72551089,82.344118,48562.556587429994,48623.55758742999,61.001
46036.05071502998,50.35123697,45920.67009832,45934.61468575,19.81512437,48642.57658742999,48661.59558742999,19.019
46045.77514545998,9.72443043,45948.55927318,45962.50386061,61.67495512,48702.63658742999,48743.677587429986,41.041
46074.93958830998,29.16444285,45976.44844804,45990.39303547,10.02534426,48869.68358742999,48995.68958742999,126.006
46128.050494429976,53.11090612,46004.3376229,46018.28221033,50.522566,49141.715587429986,49287.741587429984,146.026
46170.20839227997,42.15789785,46032.22679776,46046.17138519,47.98351677,49345.79958742998,49403.85758742998,58.058
46179.824987139975,9.61659486,46060.11597262,46074.06056005,38.41927293,49449.90358742998,49495.94958742998,46.046
46187.194143449975,7.36915631,46088.00514748,46101.94973491,84.21442687,49499.95358742998,49503.957587429984,4.004
46249.42432262997,62.23017918,46115.89432234,46129.83890977,53.35032859,49525.97958742998,49548.00158742998,22.022
46277.18059712998,27.7562745,46143.7834972,46157.72808463,27.57732393,49605.05858742998,49662.11558742998,57.057
46447.00242219998,169.82182507,46171.67267206,46185.61725949,69.21908514,49702.16958742998,49742.22358742997,40.054
46524.85346864998,77.85104645,46199.56184692,46213.50643435,13.94458743,49772.070587429975,49801.917587429976,29.847
